symbol,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1D,-4322772238,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4291236238,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4259873038,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4228337038,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4196714638,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4165178638,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4070484238,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4038948238,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-4007412238,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3975876238,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3912717838,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3881181838,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3849645838,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3818023438,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3723415438,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3691793038,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3660257038,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3628721038,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3565562638,20.65,20.65,20.65,20.65,0,NaN
XAU,1D,-3534026638,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3502490638,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3470954638,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3376260238,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3344724238,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3313101838,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3281565838,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3186871438,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3155335438,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3123799438,20.65,20.65,20.65,20.65,0,0
XAU,1D,-3092263438,20.66,20.66,20.66,20.66,0,0
XAU,1D,-3029105038,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2997569038,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2966033038,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2934410638,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2839802638,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2808180238,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2776644238,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2745108238,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2681949600,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2650413600,20.65,20.65,20.65,20.65,0,0
XAU,1D,-2618877600,20.65,20.65,20.65,20.65,0,0
XAU,1D,-2587341600,20.65,20.65,20.65,20.65,0,0
XAU,1D,-2492647200,20.68,20.68,20.68,20.68,0,0
XAU,1D,-2461111200,20.68,20.68,20.68,20.68,0,0
XAU,1D,-2429488800,20.68,20.68,20.68,20.68,0,0
XAU,1D,-2397952800,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2303258400,20.71,20.71,20.71,20.71,0,0
XAU,1D,-2271722400,20.71,20.71,20.71,20.71,0,0
XAU,1D,-2240186400,20.66,20.66,20.66,20.66,0,0
XAU,1D,-2208650400,20.68,20.68,20.68,20.68,0,0
XAU,1D,-2114042400,20.67,20.67,20.67,20.67,0,0
XAU,1D,-2082506400,20.68,20.68,20.68,20.68,0,0
XAU,1D,-2050884000,20.54,20.54,20.54,20.54,0,0
XAU,1D,-2019348000,20.62,20.62,20.62,20.62,0,0
XAU,1D,-1924653600,20.68,20.68,20.68,20.68,0,0
XAU,1D,-1893117600,20.64,20.64,20.64,20.64,0,0
XAU,1D,-1861581600,20.64,20.64,20.64,20.64,0,0
XAU,1D,-1830045600,20.65,20.65,20.65,20.65,0,0
XAU,1D,-1766887200,20.72,20.72,20.72,20.72,0,0
XAU,1D,-1735351200,20.72,20.72,20.72,20.72,0,0
XAU,1D,-1703815200,20.72,20.72,20.72,20.72,0,0
XAU,1D,-1672192800,20.72,20.72,20.72,20.72,0,0
XAU,1D,-1577584800,20.68,20.68,20.68,20.68,0,0
XAU,1D,-1546135200,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1545962400,20.58,20.58,20.58,20.58,0,0
XAU,1D,-1543629600,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1541210400,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1538532000,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1535770800,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1533265200,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1530673200,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1527994800,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1525316400,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1522548000,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1520042400,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1517450400,20.69,20.69,20.69,20.69,0,0
XAU,1D,-1514599200,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1512093600,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1509674400,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1506823200,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1504407600,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1501729200,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1498964400,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1496458800,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1493780400,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1491012000,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1488506400,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1485914400,20.84,20.84,20.84,20.84,0,0
XAU,1D,-1483236000,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1480557600,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1478138400,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1475287200,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1472871600,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1470193200,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1467428400,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1464922800,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1462071600,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1459648800,20.75,20.75,20.75,20.75,0,0
XAU,1D,-1456970400,20.75,20.75,20.75,20.75,0,0
