XAU,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1H,1577919600,1517.111,1521.368,1517.111,1518.416,796,NaN
XAU,1H,1577923200,1518.416,1519.403,1518.202,1518.723,410,NaN
XAU,1H,1577926800,1518.723,1520.944,1517.336,1519.47,1035,NaN
XAU,1H,1577930400,1519.47,1520.993,1518.52,1520.724,420,NaN
XAU,1H,1577934000,1520.724,1521.22,1519.947,1520.421,216,NaN
XAU,1H,1577937600,1520.421,1520.51,1519.538,1519.538,159,NaN
XAU,1H,1577941200,1519.538,1520.442,1519.077,1520.326,403,NaN
XAU,1H,1577944800,1520.326,1521.062,1519.352,1521.062,554,NaN
XAU,1H,1577948400,1521.062,1521.502,1519.207,1519.291,837,NaN
XAU,1H,1577952000,1519.291,1521.064,1518.566,1520.894,1247,NaN
XAU,1H,1577955600,1520.894,1521.451,1519.687,1520.775,612,NaN
XAU,1H,1577959200,1520.775,1521.478,1519.793,1521.352,485,NaN
XAU,1H,1577962800,1521.352,1522.481,1521.298,1522.101,404,NaN
XAU,1H,1577966400,1522.101,1523.718,1521.697,1523.191,433,NaN
XAU,1H,1577970000,1523.191,1529.058,1522.841,1528.123,1856,NaN
XAU,1H,1577973600,1528.123,1530.6,1525.724,1526.428,2173,NaN
XAU,1H,1577977200,1526.428,1531.414,1525.918,1529.234,2202,NaN
XAU,1H,1577980800,1529.234,1529.292,1525.336,1525.592,1192,NaN
XAU,1H,1577984400,1525.592,1526.112,1522.898,1525.313,969,NaN
XAU,1H,1577988000,1525.313,1526.588,1524.993,1526.382,587,849.5
XAU,1H,1577991600,1526.382,1526.99,1525.655,1526.824,446,832
XAU,1H,1577995200,1526.824,1528.624,1526.572,1528.352,590,841
XAU,1H,1577998800,1528.352,1529.114,1527.988,1529.108,205,799.5
XAU,1H,1578006000,1529.108,1529.184,1528.035,1528.862,246,790.8
XAU,1H,1578009600,1528.862,1530.716,1528.862,1530.638,399,799.95
XAU,1H,1578013200,1530.638,1535.823,1530.015,1535.002,1071,845.55
XAU,1H,1578016800,1535.002,1541.112,1532.754,1538.361,3448,997.8
XAU,1H,1578020400,1538.361,1540.608,1537.849,1538.699,1184,1029.3
XAU,1H,1578024000,1538.699,1539.722,1537.502,1538.855,628,1018.85
XAU,1H,1578027600,1538.855,1543.906,1538.388,1541.524,1645,1038.75
XAU,1H,1578031200,1541.524,1542.655,1541.147,1541.282,793,1047.8
XAU,1H,1578034800,1541.282,1544.035,1540.26,1543.544,1805,1113.8
XAU,1H,1578038400,1543.544,1545.392,1543.049,1544.405,1728,1180
XAU,1H,1578042000,1544.405,1550.506,1544.279,1546.943,1707,1243.7
XAU,1H,1578045600,1546.943,1549.676,1545.454,1548.577,1621,1231.95
XAU,1H,1578049200,1548.577,1551.544,1548.015,1549.412,1341,1190.35
XAU,1H,1578052800,1549.412,1550.039,1545.438,1546.46,1538,1157.15
XAU,1H,1578056400,1546.46,1547.421,1541,1546.372,2945,1244.8
XAU,1H,1578060000,1546.372,1548.112,1544.194,1546.042,3476,1370.15
XAU,1H,1578063600,1546.042,1551.099,1546.042,1548.927,4528,1567.2
XAU,1H,1578067200,1548.927,1550.536,1547.68,1548.357,1481,1618.95
XAU,1H,1578070800,1548.357,1548.952,1547.066,1548.842,886,1633.75
XAU,1H,1578074400,1548.842,1553.537,1548.441,1549.538,2117,1729.35
XAU,1H,1578078000,1549.538,1549.836,1546.304,1547.89,1771,1805.6
XAU,1H,1578081600,1547.89,1549.121,1546.999,1549.121,911,1831.2
XAU,1H,1578085200,1549.121,1552.466,1548.72,1552.394,726,1813.95
XAU,1H,1578265200,1552.394,1589.739,1552.394,1569.284,8833,2083.2
XAU,1H,1578268800,1569.284,1570.958,1567.112,1569.62,2685,2158.25
XAU,1H,1578272400,1569.62,1580.109,1568.938,1577.848,3787,2316.2
XAU,1H,1578276000,1577.848,1578.053,1575.366,1577.624,1282,2298.05
XAU,1H,1578279600,1577.624,1579.558,1576.964,1578.178,679,2292.35
XAU,1H,1578283200,1578.178,1578.344,1574.951,1576.154,740,2239.1
XAU,1H,1578286800,1576.154,1577.408,1573.641,1575.011,983,2201.85
XAU,1H,1578290400,1575.011,1577.891,1573.736,1574.517,1526,2192.8
XAU,1H,1578294000,1574.517,1575.26,1570.352,1574.28,2277,2225.6
XAU,1H,1578297600,1574.28,1576.572,1571.474,1575.781,2721,2294.6
XAU,1H,1578301200,1575.781,1578.094,1574.35,1577.324,1639,2299.65
XAU,1H,1578304800,1577.324,1577.744,1575.184,1577.67,1020,2203.4
XAU,1H,1578308400,1577.67,1579.346,1576.221,1578.937,1149,2087.05
XAU,1H,1578312000,1578.937,1579.099,1576.212,1576.734,1457,1933.5
XAU,1H,1578315600,1576.734,1577.731,1571.531,1574.392,2857,2002.3
XAU,1H,1578319200,1574.392,1576.73,1572.702,1573.04,2858,2100.9
XAU,1H,1578322800,1573.04,1574.264,1560.995,1564.354,5697,2279.9
XAU,1H,1578326400,1564.354,1565.74,1560.938,1564.808,2748,2328.75
XAU,1H,1578330000,1564.808,1565.422,1562.213,1564.596,1267,2346.55
XAU,1H,1578333600,1564.596,1568.547,1563.979,1566.582,1299,2375.2
XAU,1H,1578337200,1566.582,1567.731,1563.129,1564.904,1075,1987.3
