symbol,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1M,-4323290638,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4291754638,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4260218638,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4228682638,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4196973838,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4165524238,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4070829838,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4039121038,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-4007671438,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3976221838,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3913063438,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3881527438,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3849818638,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3818369038,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3723761038,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3691965838,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3660516238,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3629066638,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3565908238,20.65,20.65,20.65,20.65,0,NaN
XAU,1M,-3534372238,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3502663438,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3471213838,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3376605838,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3345069838,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3313361038,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3281911438,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3187217038,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3155508238,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3124058638,20.65,20.65,20.65,20.65,0,0
XAU,1M,-3092609038,20.66,20.66,20.66,20.66,0,0
XAU,1M,-3029450638,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2997914638,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2966205838,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2934756238,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2840148238,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2808353038,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2776903438,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2745453838,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2682295200,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2650759200,20.65,20.65,20.65,20.65,0,0
XAU,1M,-2619050400,20.65,20.65,20.65,20.65,0,0
XAU,1M,-2587600800,20.65,20.65,20.65,20.65,0,0
XAU,1M,-2492992800,20.68,20.68,20.68,20.68,0,0
XAU,1M,-2461456800,20.68,20.68,20.68,20.68,0,0
XAU,1M,-2429748000,20.68,20.68,20.68,20.68,0,0
XAU,1M,-2398298400,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2303604000,20.71,20.71,20.71,20.71,0,0
XAU,1M,-2271895200,20.71,20.71,20.71,20.71,0,0
XAU,1M,-2240445600,20.66,20.66,20.66,20.66,0,0
XAU,1M,-2208996000,20.68,20.68,20.68,20.68,0,0
XAU,1M,-2114388000,20.67,20.67,20.67,20.67,0,0
XAU,1M,-2082852000,20.68,20.68,20.68,20.68,0,0
