symbol,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1min,1685311380,1946.93,1946.93,1942.625,1942.805,102,NaN
XAU,1min,1685311440,1942.805,1943.595,1942.07,1943.115,93,NaN
XAU,1min,1685311500,1943.115,1944.264,1943.1,1943.885,131,NaN
XAU,1min,1685311560,1943.885,1944.535,1943.38,1944.535,73,NaN
XAU,1min,1685311620,1944.535,1944.6,1944.175,1944.435,57,NaN
XAU,1min,1685311680,1944.435,1944.495,1944.05,1944.475,59,NaN
XAU,1min,1685311740,1944.475,1944.67,1944.335,1944.67,47,NaN
XAU,1min,1685311800,1944.67,1945.685,1944.56,1945.68,82,NaN
XAU,1min,1685311860,1945.68,1946.405,1945.505,1945.785,75,NaN
XAU,1min,1685311920,1945.785,1945.84,1944.77,1945.425,43,NaN
XAU,1min,1685311980,1945.425,1945.425,1944.92,1945.325,25,NaN
XAU,1min,1685312040,1945.325,1945.48,1944.715,1944.835,39,NaN
XAU,1min,1685312100,1944.835,1944.835,1944.375,1944.59,49,NaN
XAU,1min,1685312160,1944.59,1945.035,1944.49,1944.955,34,NaN
XAU,1min,1685312220,1944.955,1945.05,1944.575,1944.575,18,NaN
XAU,1min,1685312280,1944.575,1944.645,1944.255,1944.44,29,NaN
XAU,1min,1685312340,1944.44,1944.49,1944.025,1944.035,24,NaN
XAU,1min,1685312400,1944.035,1944.045,1943.295,1943.63,41,NaN
XAU,1min,1685312460,1943.63,1943.98,1943.63,1943.975,25,NaN
XAU,1min,1685312520,1943.975,1944.58,1943.975,1944.375,26,53.6
XAU,1min,1685312580,1944.375,1944.8,1944.21,1944.7,17,49.35
XAU,1min,1685312640,1944.7,1944.975,1944.675,1944.975,13,45.35
XAU,1min,1685312700,1944.975,1945.16,1944.805,1944.915,26,40.1
XAU,1min,1685312760,1944.915,1944.99,1944.8,1944.885,5,36.7
XAU,1min,1685312820,1944.885,1945.42,1944.885,1945.25,19,34.8
XAU,1min,1685312880,1945.25,1945.25,1945.01,1945.025,17,32.7
XAU,1min,1685312940,1945.025,1945.025,1944.515,1944.605,13,31
XAU,1min,1685313000,1944.605,1944.66,1944.265,1944.275,30,28.4
XAU,1min,1685313060,1944.275,1944.275,1943.465,1944.1,27,26
XAU,1min,1685313120,1944.1,1944.125,1943.8,1944.02,36,25.65
XAU,1min,1685313180,1944.02,1944.245,1943.885,1943.985,30,25.9
